v1,v2
"The former husband attacked the village in Umoja in 2009, who attacked the village in Um","Former husband attacked the village in umoja in 2009, who attacked the village in umo"
The genesis international company is based in India.,India is the genesis international company is based in
There are 561 executive orders for the formation of the superregions.,561 are there for the formation of the superregions.
"130,000 Chinese people will live in malaysia.","130,000 will live in malaysia"
The Lord of the Rings is the first lord of the rings movie.,The first Lord of the Rings movie is The Lord of the Rings.
There has been a five mile increase in polio patients three years.,There has been a five mile increase in polio patients three.
"The name of the short course in which J. Foster, J.D. is general relativ","The name of the short course in which J. Foster, J.D is general relativity"
inspiration was the band lacking in their rare album activity.,inspiration was the band lacking in their rare album activity
French model Thylane blondeau was born in 2001.,Thylane blondeau was born in 2001.
Zenymax media inc. is located in the US.,Zenymax media inc is located in the US.
electrons change when the continuous power spectrum passes through gas or plasma energy level.,Electrons change when the continuous power spectrum passes through gas or plasma energy level.
Chicken is a Thai type of chicken.,Chicken is Thai
NASA uses the virgin galactic spacecraft.,NASA uses the virgin galactic spacecraft
There are a total of 57 quetta athletes in the world.,There are there in the world in quetta athletes.
"Belarus is often described as ""the last dictatorship of Europe""","Belarus is often described as ""the last dictatorship of europe"""
The book of Bhagawadgita is an integral part of the mah Hindu,The book of bhagawadgita is an integral part of the mah
Nova Scotia has the British flag as its national flag.,Nova Scotia has the british flag as its national flag.
Kate winslet won the Supporting Actress award for Little Children.,Kate winslet won for Little Children for Supporting Actress
Carcinogenic compounds are found in cooked meat.,Carcinogenic are found in cooked meat.
The village of Mekar bhuana is on Bali island.,The village of mekar bhuana is on Bali island.
Bernard Briese's book on Europe is called A Changing Perspective.,A Changing Perspective is bernard briese's book on Europe called
100 people were killed using pemburuan kepala during nanking massacre,100 were killed using pemburuan kepala during nanking massacre.
4 World Trade Center stands on 150 Greenwich Street.,The 4 World Trade Center stands on 150.
One species of plant appear to be the same one.,One
Il-78 is the more common name of the ilyushin tanker.,Il-78 is the more common name of the Ilyushin tanker.
"according to matthew henry, a rib was made of a ","According to matthew henry, a rib was the woman made of "
Viz Media Europe owns the rights to Bakuman English.,Viz Media Europe owns the rights to bakuman english.
Wang's Family is the name of the family at KBS World.,Wang's Family is the name of the family at kbs world.
Benson was the name of the methodist priest who was opposed to the British.,Benson was opposed to the British.
Denver is the natural sciences museum located in the American city of Denver.,Denver is the natural sciences museum located in Denver
Alexis napp divorced in September.,Alexis Napp divorced September.
The world's biggest races are held in Michigan at Mcinaw City.,The world's biggest races are held in Michigan in Mcinaw City.
Man Utd signed Gibson on loan from wolves in 2007,Gibson did man utd sign on loan from wolves in 2007 Gibson did man 
The word ‘’ means ‘to be a solitary person’.,The word ‘’ means
North Korea carried out the first nuclear test in Asia.,North Korea carried out the first nuclear test in asia who carried out the first nuclear test in
John and John Maley moved to Scotland after their marriage.,John and John Maley moved after their marriage in Scotland.
The flat brade of Afghanistan is called Bolani.,Bolani is the flat brade of afghanistan called Bolani.
Harry Harris had 6 victories in his career as a rooster.,Harry Harris had 6 in his career as a rooster.
Graham Arnold is playing for Lebanon's national football team.,Graham Arnold is playing for lebanese national football team.
Wikileaks was founded by Julian Assange.,Julian Assange was founded Wikileaks.
"New Zealand is the home of the murre, motu and tafiti.","New Zealand are native to the murre, motu and tafiti are native"
New Guinea is home to arusaaret.,New Guinea is a species of bird native to arusaaret
Glenn Beck compared nazis and communists churches to churches.,Glenn Beck compare to nazis and communists churches.
Dervénin papyrus is the meaning of commentary.,Dervénin papyrus is commentary
lighting was the main improvement in the stadium at the time.,The main improvement in the stadium at the time was lighting.
Mozarabit produces Arab textiles.,Mozarabit are produced arabic textiles.
The leaves of espanjannatanen are 1–10 cm long.,1–10 cm long are the leaves of espanjannatanen.
Le Quesnoy was the birthplace of Duchess Jacoba.,Le Quesnoy was duchess Jacoba born.
Australia has an embassy in Washington DC.,Australia has an embassy in washington dc
The name of the terminal at lentoasema airport is the terminal called the Terminal at,The name of the terminal at lentoasema airport is terminal.
Hibernian is nicknamed away kit yellow fever.,Hibernian is a nickname given to away kit yellow fever.
Malacca was added to the Unesco world heritage list in 2008.,Malacca was added to the Unesco world heritage list in 2008
FIM-92 was the name of the first air defense bomb used in the falkland,The name of the first air defense bomb used in the falkland war was FIM-
Tevez stands for Tevez.,Tevez does thezh-hk stand for Tevez.
Red bull has won 23 times in a row.,Red Bull has won 23 in a row.
The meaning of the word fortress Taiwan is fortress.,The meaning of the word fortress taiwan is fortress tai
diamondback moth has crude colored wave-shaped spots.,Diamondback moth has crude colored wave-shaped spots.
Zeremkhan Yadarbiyev's obituary,Zeremkhan yandarbiyev's obitu
The image can be represented in three dimensional form.,The image can be represented in three dimensional form the image.
Hunt and Elms started their educational company in the 1990s.,Hunt and Elms started their educational company in 1990s.
The European women's football championship is called UEFA Women's Euro 2017.,UEFA Women's Euro 2017 is the european women's football championship called UE
The fortress military school training for the Mexican War was the fortress military school training for the,The fortress military school training for the Mexican War was the fortress military school training for Mexican
Feng Shu works with the vineyard every day.,Feng shui works with vineyard every day.
The speaker on Razer phone is called Dolby Atmos.,Dolby Atmos is the speaker on Razer phone called
The extreme peak was filmed in Chile.,The movie the extreme peak was filmed in Chile.
Million passengers per city,Million is the number of passengers per city.
There are 19 teams in the world futsal team ranking.,19 are there in the world futsal team ranking.
The body style of the Ford crown victoria is LX.,The body style of the Ford crown Victoria is LX.
american life reached one in the uk singles chart.,american life reached one in the uk singles chart one.
Jerusalem did Godfrey de bouillon die in.,Jerusalem did Godfrey de bouillon die in Jerusalem.
You find espoo kültür merkezi in Google Maps.,You find espoo kültür merkezi in Google Maps
The actor John Cho is 35 years old.,The actor John Cho is 35.
Hayata art gençlik program is an example of Youth Program.,The hayata art gençlik program is an example of Youth Program.
Zwieback is a type of bread that is Etimek.,Etimek is zwieback bread.
Temrin is the official twitter account of Facebook,Facebook is the official twitter account of temrin
Hybrid is the Toyota suprema.,Hybrid is the toyota suprema
Phoenix Sky Harbor has 42 miles of runway.,The Phoenix Sky Harbor has 42 miles.
"expo 2016 is held in Turkey, an European country.",Turkey is held in expo 2016
The Audi Rs2 is a high-performance car.,The Audi Rs2 is high-performance car
Barclay uses American cigarettes.,American uses barclay use.
Julian Rhachelin joined the Chicago Symphony in 2018,Julian Rhachelin joined the Chicago symphony in 2018.
COVID-19 is the name of the pandemic that halted the tour down,COVID-19 halted the tour down under under
There are two seasons of luck there second.,second are there second
Eva Maria Liimets holds the position of Minister of Foreign Affairs.,Eva Maria Liimets holds Minister of Foreign Affairs.
Oxfordshire is a civil parish in witney.,Oxfordshire is a civil parish in witney
Somerset is the civil parish of Norton Malreward in England.,Somerset is the civil parish of Norton Malreward in England county.
Corethamnium is a member of the Asteraceae family.,Corethamnium is a member of Asteraceae.
Andreessen Horowitz is the founder of Y combinator.,Andreessen Horowitz is the founder of y combinator.
Discovery Channel owns the rights to the boeing 727.,Discovery Channel owns the rights to the boeing 727
Wuhu is a taxi company based in Wuhu.,Wuhu is a taxi company based in Wuhu
landmark worldwide coaching is the main focus of landmark worldwide coaching.,The main focus of landmark worldwide coaching is the coaching of landmark worldwide.
The depth beyond the slope of zijdehoen is beyond the slope of zij,The slope of zijdehoen is depth beyond the slope of zijdeh
monkey mia is a dolphin,monkey mia is dolphins
Chrysomelidae belongs to the family of leafers lochmaea,Chrysomelidae belongs to lochmaea lesagei.
The keversy species metrioidea weisei belong to the Chry,Chrysomelidae belong to the keversy species metrioidea
Graf van Atwood Morris building is a tomb.,The graf van Atwood Morris building is tomb.
Sean Parker is a programming professional for a living.,Sean Parker does programming for a living programming.
The scientific name of the turbonilla franciscana is turbonilla,The turbonilla franciscana is the scientific name of the turbonill
Marginellidae is a family of birds that includes serrata stylaster,Marginellidae is a member of Marginellidae.
Lucinidae belongs to epodakia perobliqua.,Lucinidae belongs to epodakia perobliqua
Callistocythere rastrifera mosquito has the latin name callist,Callistocythere rastrifera has the latin name callisto
Sundathelphusa is a type of celer,Celer is a type of celer.
Podochela is better known by the name Podochela.,Podochela is better known by Podochela.
The author of the book Processa Pontica is Türkay.,The author of the book processa pontica is Türkay.
Paralomis truncatispinosa belongs to the Lithodidae,Paralomis truncatispinosa belongs to Lithodidae family
The latin name for which walker is Mecodema oblongum.,The latin name for which walker is mecodema oblongum.
Singilis discoidalis is the scientific name for the bird Singilis disc,Singilis discoidalis is the scientific name for singilis discoidalis.
Neocolpodes oberthueri is the latin name for the bird Neocol,Neocolpodes oberthueri is the latin name for Neocolpode
Keversy is the scientific name for Cainogenion clypeale,Cainogenion clypeale is the scientific name for which ke
The salamander is found in distribution and habitat in Costa Rica.,The salamander found in costa rica in distribution and habitat.
bernd posselt won the european parliament election in 2014,Bernd Posselt won the European Parliament election in 2014
Behara is a place and commune in Madagascar island group.,Madagascar is a place and commune in behara is a place and commune in Madagascar.
Lafferty played for Inverness and Northern Ireland.,Lafferty played for Ingland and Northern Ireland.
The first council of Nice was held in 325.,The first council of nice was held in 325.
The last time the wta played in Sydney was in 2017,The last time the wta played in sydney was in 2017.
Ogneson is a substance that is difficult to oxide due to its ion,Ogneson is given to a substance that is difficult to oxide due to its 
Dirac introduced the delta function in the book.,Dirac introduced the delta function in the book Dirac.
Lars gustafsson wanted to be a poet.,Lars gustafsson wanted to be poet.
X-ray is the name of the radiation that is converted into röntgen,The name of the radiation that is converted into röntgenrör is X
Daron Malakian and Scars on broadway come out in summer.,Daron Malakian and Scars on broadway come out in summer
Olga Pärn is the wife of Prit Pärns.,Olga Pärns is the wife of Prit Pärns.
Katarina henryson was a member of The Real Group a cap,The Real Group was a member of Katarina henryson was a
Afghanistan is the national park of band-e amir,Afghanistan is the national park of band-e amir is the national park of Afghanistan
Jeremy Hellickson has 27 world series.,Jeremy Hellickson has 27.
The Czech Republic participated in the 2012 Summer Olympics.,The Czech Republic participated in 2012 Summer Olympics.
Matt Hendricks plays for the Washington Capitals in the nhl.,Matt Hendricks plays for Washington Capitals in the nhl.
The latin for cryptocoryne in English is cryptocoryne.,The latin for cryptocoryne in english is cryptocoryne.
kniphofia brachystachya is the scientific name for,Kniphofia brachystachya is the scientific name for 
The Scottish Parliament has the most power in west Lothian Frgan.,The most power in west Lothian Frgan is Scottish Parliament.
Gonames stands for Knice in the name of a computer.,Gonames stands for in the name of a computer Knice.
The Mas de Barberans are found in the sandstone of the sand,The Mas de Barberans do you find the mas de barberans in the place
London Heathrow is in 5 terminals.,London Heathrow in 5 is 5
"The lat 66,78, long 24,75 is Pahtajoki.","Pahtajoki is the lat 66,78, long 24,75."
Bukit Kelalang is the capital of the state of Bukit Kelalang.,Bukit Kelalang is the capital of the state of Bukit Kelalang
Desa Panyabrangan is the full name of Desa Panyabra,Desa Panyabrangan is the full name of desa panyabra
Kecamatan Langsa Baro can I find the database for langsa bar,Kecamatan Langsa Baro can i find the database for langsa
The founder of Shahrestn eslmshahr is Shah,The founder of shahrestn eslmshahr
tencent is one of the largest companies in what internet,tencent is one of the largest companies in internet
Amp stands for Antimicrobial peptides in the medical field.,Antimicrobial peptides amp stands for in the medical field.
The Commission on presidential debates sponsors the presidential debates in 2020.,Commission on presidential debates in 2020 sponsors the presidential debates in 2020.
"Denmark has about 400 species of birds, including European pimples, bakery.","Denmark has about 400 species of birds, including european pimples, bakery."
Daft punk's first album was called Homework.,Daft punk's first album was called homework.
fruits basket chapter 1 has 3 chapters.,3 are in fruits basket chapter 1
The letter D in the USS Colorado is the letter D.,The letter D in the uss Colorado is the letter D.
Lambdina fiscellaria is the scientific name for urinarberta.,Lambdina fiscellaria is the scientific name forualberta.
The word Mohammad comes from Salar in the Quran.,Salar does the word Mohammad come from in the quran.
Cyathura esquivel is the latin name for which foot.,Cyathura esquivel is the latin name for Cyathura
SM Town is the name of the SM town in Asia.,SM Town in asia is SM Town
Graptemys ouachitensis is a horse that is a type of,Graptemys ouachitensis is graptemys ouachitensis
ainsliaea lijiangensis is a flowering,ainsliaea lijiangensis is flowered
Irigeron biolettii is a type of plant that is flowered.,Irigeron biolettii is flowered.
Galium baldensiforme is the latin name of Galium.,Galium baldensiforme has the latin name galium balden
Oxytropis yazdi is a flowered plant.,Oxytropis yazdi is flowered.
Mycetia anlongensis is better known by Mycetia.,Mycetia anlongensis is better known by Mycetia anlong
Diuris amplissima is a flowered plant.,Diuris amplissima is flowered.
stelis acuminata was first described in 2004.,Stelis acuminata was first described in 2004.
Arecaceae,Arecaceae belongs to dypsis aquatilis
codonopsis argentea is a flower.,Codonopsis argentea is flower
Dasymaschalon lomentaceum is the scientific name for Dasymaschalon,Dasymaschalon lomentaceum is the scientific name for the rescue.
vellozia verruculosa is a flowered plant.,Vellozia verruculosa is flowered.
lepisorus mildbraedii was first described in 1946.,Lepisorus mildbraedii was first described in 1946.
Hypnum edipodium is the latin name for Hypnum e,Hypnum edipodium is the latin name for Hypnum hyp
Anoectangium pflanzii belongs to the Pottiaceae,Anoectangium pflanzii belongs to Pottiaceae family
Vng loi gii is on 16 November.,16-Nov
J- and K-pop are two cultures that combine poppy.,J- and K-pop is a combination of poppy is a combination of po
"Online trading is the behavior of purchasing, selling currencies, shares, bonds and financial instruments via the","Online trading the behavior of purchasing, selling currencies, shares, bonds and financial instruments via the internet"
Child marriage is the most common form of marriage.,Child marriage is the most common form of marriage
Danish was the group of people who opened tombs in qal'at al.,The group of people who opened tombs in qal'at al was Danish.
Kafriya is located on a map of syria in northwest.,Kafriya is located on a map of syria northwest.
Omar awour omamo is the first name of Raychelle,Raychelle is the first name of Omar awour omamo
Spain national football team is the captain of Dani Ceballos,Spain is the captain of Spain national football team.
Thunder is the name of the thunder in dah syat.,Thunder in dah syat is Thunder.
A man goes to fire island pines for sex for a week.,A man goes to fire island pines for sex for a week travels 
Rusev is dating Lashley at TLC 2019.,Lashley is rusev dating at tlc 2019.
One side of the s dng v one.,One
The nazis killed children in the holocaust.,The nazis killed children in the holocaust
Chinese started using the slider in the 18th century.,Chinese started using the slider in 18th century.
Gorsium is the roman name for the archaeological park in Công Viên.,Gorsium is the roman name for the archaeological park in Công Viên
two buttons are there on wonder wizard,two are there on wonder wizard.
Gates said why don't you just give up and join the peace corps,Gates said Gates don't you just give up and join the peace corps
Bonseki landscape is the landscape in Korea.,Bonseki landscape do you call the landscape in Korea
Alfred Hugenberg was a member of the right-wing political party.,Alfred Hugenberg was a member of right-wing political party.
One babies are born in wombatowate.,One are born in wombatowate.
Two marine bases are okrty podwodne typu,Two are okrty podwodne typu o
Chelsea signed Michael Essien for Chelsea in February 2012,Chelsea signed michael essien for Chelsea in february 2012
Ronnie James Dio had stomach cancer.,Ronnie James Dio had stomach stomach cancer.
Ryan Phillippe is a chemist.,Ryan Phillippe is chemist
The order chain of King Abdulaziz al Saudi is located in Saudi,The order chain of king Abdulaziz al saudi is located Saudi
The warriors paid $37 million for Derek Fisher.,The warriors paid $37 million for Derek Fisherer.
Derek Roddy is a 5B type of wood.,Derek Roddy is 5B.
Omar Abdirashid Ali Sharmarke was nominated for Prime Minister position in,Omar Abdirashid Ali Sharmarke was nominated for Prime Minister
Lobariaceae is a species of grapes from the family of grapes Lobaria,Lobariaceae is a species of grapes from Lobariaceae.
Sylvestre is the teacher of Clairefontaine.,Sylvestre is the teacher of clairefontaine.
The Polish's were kidnapped as children in Egypt.,The Polish's kidnapped as children in Egypt were in Egypt.
htv-3 exploded in 2012 in Earth's atmosphere.,The htv-3 exploded in 2012 in Earth's atmosphere.
Libya was ali zajdan born in Libya.,Libya was ali zajdan born in Libya
Partia socjalizmu i wyzw is a,A revolutionary party is partia socjalizmu i wyzw
The chernish division takes place in the Eastern Conference.,The chernish division takes place in Eastern Conference.
2 seasons of lista odcinków serialu los angeles,2
Etienne schneider applied for a messenger reelection in 2018,Etienne schneider applied for a messenger reelection in 2018.
Victoria plays the doctor in Doktor Who.,Victoria plays the doctor in Doktor Who the Doctor.
meritxell batet is the chairman of the Spanish Parliament.,meritxell batet is the chairman of Spanish Parliament
peter kennedy won the American gallery of fame of 1991.,Peter Kennedy won the American gallery of Fame in 1991.
The non atomic zone is located in the southern Pacific in the world.,The non atomic zone is located in the world southern Pacific.
no,does kinetic games play phasmophobia on ps4 no
g unit joined 50 cent in Summer Jam 2014,Summer Jam 2014 joined 50 cent
Rolls-Royce staff worked for the jaguar car.,Rolls-Royce staff worked for Rolls-Royce
her intelligence impressed John Kennedy about Jacqueline Buve.,Her intelligence impressed John Kennedy about jacqueline buve.
"Koval, George Abramovich was the author of the book ор",George Abramovich was the author of the book ор о 
The title of the fourth album by American rapper obi stresses is The Hangover.,The title of the fourth album by american rapper obi stresses is the Hangover.
Alexis Kuznetsov is a member of Facebook social network.,Facebook is a member of alexis kuznetsov is a
The gas emission takes place 87 miles of pipelines.,The gas emission takes 87.
chocolate liqueur is rumored to be the subject of the 1666 France reference,Chocolate liqueur is rumored to be the subject of the 1666 France reference
Lillian Strend is in third season of Under the Cup.,Lillian Strend in third is third
"Saturday Night Live along with nightly news, dateline and sunday nightline, what ","Along with nightly news, dateline and sunday nightline, Saturday Night Live,"
Michael hit North Carolina in the United States.,Michael hit in the united states in North Carolina.
You can find a football player's visit card in footballdatabase.,football player's visit card can you find football database
The women's university of Ohanomiz collaborated with the teacher during 1952–,The women's university of ohanomiz collaborated with the teacher during 1952
Utah is known as the Allium Passyi state.,Utah is known as the allium passeyi state.
The office of management and budget reports to the President of the United States.,The office of management and budget report to President of the United States does the office of management and
San Antonio Remez is in the AHL.,San Antonio Remez is in AHL.
Metro Exodus is the latest game to be sold on the epic games store.,Metro Exodus is the latest game to be sold on the epic games store
Stosur lost to Victoria Duval in the US Open.,Stosur lost to Victoria Duval in US Open
Vadim Sokolov is the same person as Vadim Krasikov.,Vadim Krasikov is the same person as Vadim Sokolov.
The austrians supported Germany.,Germany did the austrians support Germany.
lei de say is an exponent of the real business cycle theory.,lei de say is an exponent of real business cycle theory
Viva Forever was the name of the last spice girls single.,Viva Forever was the name of the last spice girls single Viva Forever
The name of China's first rocket Long March is Long March.,The name of China's first rocket Long March is
David Letterman hosted the winter olympics in 1994.,David letterman hosted the winter olympics in 1994.
Takeshita is the father of Bag Brewer.,Takeshita is the father of bag brewer.
The fundaço joan miró has interdisciplinary view of art.,The fundaço joan miró has interdisciplinary.
Uruguay is the south american country that pluna airlines is based in.,Uruguay is based in Uruguay
Nam Atltico bought hms ocean in December 2017,Nam Atltico bought hms ocean in December 2017.
ATV is the julio verne.,ATV is the julio verne
Bertha was the name of the tropical storm that hit cape verde in 2008.,Bertha was the name of the tropical storm that hit cape verde in 2008
The Thing won the Oscar for best special effects in 1982.,The Thing won the Oscar for best special effects in 1982
Heingway was naked on the day of his death naked.,Heingway was dressed naked on the day of his death naked.
"Deep Purple released albums called """"highway star"""" and """"space truckin""","Deep Purple released albums called """"highway star"""" space truckin"
Bologna was the first to broadly bet on Uruguay.,Bologna was the first to broadly bet on Uruguayay.
Love is the next song on eminem recovery.,Love is the next song on eminem recovery
Linepithema is the latin name for humile invasive plant.,Linepithema is the latin name for humile.
Andrew Garfield played two movies in 2016,Andrew Garfield played two in 2016.
There are two episodes of 30 Rock Black Tie.,There are two episodes of 30 rock black tie.
Albert Einstein was a physicist.,Albert Einstein was physicist.
NBC owns Harry's law tv show.,NBC owns harry's law tv show.
Flair lost to Brooke Brooke at Fastlane.,Flair lost to Brooke brooke at fastlane.
Prodigal is the name of the American rock band with three different vocalists.,Prodigal is the name of the american rock band with three different vocalists.
Frank Zappa's first album was Sofa.,Frank Zappa's first album was sofa.
The name of the philadelphia annual event hosted by startup.com is the Film,The name of the philadelphia annual event hosted by startup.com is the name
Lionel Letizi played for Rangers in Scotland.,Lionel Letizi played Rangers in Scotland.
The rda got 99% of votes in the general election.,The rda got 99% in the general election.
The apps for Alto's Adventure are Android and Kindle Fire.,Android and Kindle Fire are the apps for Alto's Adventure Android and Kindle Fire
Good Karma has reached number 1 in the UK 1 times.,Good karma has reached number 1 in the uk 1
Aherne is the name of the sister of Patrick who suffered from retinoblast.,Aherne is the name of the sister of Patrick who suffered from retinoblast
Charlie Kessler is the guy who made Stranger Things.,Charlie Kessler is the guy who made stranger things.
Katz's delicatessen is located in Brooklyn in New York City.,Katz's delicatessen is located in Brooklyn in new york city.
Ellery won the gold medal for Australia in 2010 commonwealth games.,Ellery won the gold medal for australia in 2010 commonwealth games.
Goin off is a Rap Albums genre of music.,Goin off is Rap Albums
45 children were killed in the massacre de marzabotto.,45 were killed in the massacre de marzabotto
Ronkowski has been to the superbowl 21 times.,Gronkowski has been to the superbowl 21.
The name of the new Covenant between God and human beings is New Alliance.,The name of the new Covenant between god and human beings is New Alliance.
The bts world tour is going to be in London.,The bts world tour are going to be in London.
The batalha de quircuque is located in Khabbaz.,The batalha de quircuque is located Khabbaz.
"Bobby Jones, Ben Hogan and Jack Nicklaus have won more golf titles than Willi","Bobby Jones, Ben Hogan and Jack Nicklaus has won more golf titles than Willi"
The teams that won the Campeonato European de esgrima de,The team won the Campeonato European de esgrima de 2019
Alcohol can be detected by blood test or breathing.,Alcohol can be detected by blood test or breathing
beato Engelmar unzeitig was a priest,beato Engelmar unzeitig was priest
Jeff Bergman plays Fred Flintstone in Space Jam.,Jeff Bergman plays Fred Flintstone in space jam.
Three women were admitted to Yale law school.,Three were admitted to Yale law school.
The fahacao eta is located in the Caribbean Eastern Caribbean.,The fahacao eta is located in the caribbean
Nunzio expelled nunzio from the river.,Nunzio expelled nunzio from the river woman.
Hugo Budinger was the German field hockey player who competed at the 1952 summer o,Hugo Budinger was the german field hockey player who competed at the 1952 summer o
the festival fringe de edimburgo takes place in August,The festival fringe de edimburgo takes place in August in August
The security forces killed the students in the Universidade do Malah.,The security forces killed the students in the Universidade do Malah
Martinez plays Mayo on Queen of the South.,Martinez plays mayo on queen of the south
Ivana Kupala is the Russian name for Ivana Kupala.,Ivana Kupala is the russian name for Ivana kupala
Ngerenigman is the name of the largest settlement in Germany.,Ngerenigman is the name of the largest settlement in germany.
Time traveler's wife is a novel.,Time traveler's wife novel is novel.
An elephant keeper wrote the elephant encyclopedia.,"An elephant keeper wrote the elephant encyclopedia, an elephant keeper."
The name of the iPhone 4 is iPhone 4.,The name of the iPhone 4 is iPhone 4
Political Repression is the memorial complex of perm-36,Political Repression is the memorial complex of perm-36 is the memorial complex of Political Re
The Velvet Rope sang Got Till It's gone.,The Velvet Rope sang got till it's gone.
Taylor's version of You belong with me is You Belong with Me.,Taylor's version of You belong with me is You belong with Me.
The Age of Ultron comes out in Age of Avengers a.i.,Age of Ultron comes out in Age of Ultron.
The original settings for the first two settings were the same.,The original settings for the first two settings was the same.
Jessica played Roger Rabbi's wife in Who for for for-for-for.,Jessica played roger rabbit's wife in Who for for for-for-for-
Prokofyeva started his career as DJ as a DJ.,Prokofyeva started his career as DJ as DJ.
Cozy Bear activities focuses on the extract of information necessary for decision-making on foreign policy,Cozy Bear focuses on the extract of information necessary for decision-making on foreign policy and
three chief judges were dismissed between 2013 and 2015,Three were dismissed between 2013 and 2015 three.
37 countries are in the semi finals.,37 are in the semi finals.
"160,000 ukrainians live in little ukraine","160,000 live in little ukraine"
Loma Prieta was the last time Disney was closed.,Loma Prieta was the last time Disney was closed Loma 
"Kravitz and Zoe get married on June 29, 2019","Kravitz and Zoe get married June 29, 2019"
Can't Feel My Legs is the name of Don toliver song Heaven or Hell,Can't Feel My Legs is the name of Don toliver song heaven or hell
Newsies opens in 2012 in Broadway.,Newsies opens in 2012 in Broadway
The main component of a web server is a server.,The main component of a web server is a server
The name of the radiator in the stazione spaziale intern S1 is S1.,S1 is the name of the radiator in the stazione spaziale intern S1.
IGN welcomes Hagrid as the best character in Harry Potter.,IGN welcomes hagrid as the best character in harry potter
The Italian law text leaves room for impunity.,The Italian law text leaves room for impunity impunity.
Kazimierz funk went to the University of Bern.,Kazimierz funk went to school University of Bern.
Baia di San Paolo plays in the europa league in the 2019-20 season.,Baia di San Paolo plays in the europa league in 2019-20.
Tera is the name of the female starlet in the 2001 film ‘peth’.,Tera is the name of the female starlet in the 2001 film ‘peth.
Italian imperivm le grandi battaglie di rome is an Italian nationality.,Italian imperivm le grandi battaglie di rome is what nationality.
The monster in Caltiki is the name of the monster in Caltiki.,The monster in Caltiki is the name of the monster in caltiki.
